SubOf	WP	OldCode	ชื่องาน
WP-44	WP-44-04	WP-252	งานติดตั้งเขิบกั้นรถ
WP-44	WP-44-05	WP-253	งานทาสีเขิบกั้นรถ (สีเหลือง 3 สีดำ 2)
WP-44	WP-44-06	WP-256	งานตีเส้นจราจร
WP-44	WP-44-07	WP-354	งานทาสีรองพื้นเหล็กรูปพรรณเสาป้ายจอดรถและคนพิการ
WP-44	WP-44-08	WP-355	งานทาสีจริงเหล็กรูปพรรณเสาป้ายจอดรถและคนพิการ
WP-44	WP-44-09	WP-356	งานติดตั้งป้ายจอดรถและคนพิการ
WP-44	WP-44-10	WP-260	งานตัดจ้อยรอบอาคารและลานด้านนอก
WP-44	WP-44-11	WP-261	งานหยอดยางมะตอยรอบอาคารและลานด้านนอก
	WP-45	WP-305	งานกำแพงกันดิน
WP-45	WP-45-01	WP-357	งานขุดและปรับพื้นเตรียมทำกำแพงกันดิน
WP-45	WP-45-02	WP-358	งานนำเสาเข็มกำแพงกันดิน
WP-45	WP-45-03	WP-359	งานลงเสาเข็มกำแพงกันดิน
WP-45	WP-45-04	WP-360	งานประกอบแผ่นสำเร็จกำแพงกันดิน
WP-45	WP-45-05	WP-021	งานแคปหัวเสาเข็มกำแพงกันดิน
	WP-46	WP-306	งานทางเชื่อม
WP-46	WP-46-01	WP-257	งานปรับพื้นเตรียมทำทางเชื่อม
WP-46	WP-46-02	WP-361	งานลงทรายบดอัดทางเชื่อม
WP-46	WP-46-03	WP-362	งานวางไวร์เมชทางเชื่อม
WP-46	WP-46-04	WP-363	งานเข้าแบบทางเชื่อม
WP-46	WP-46-05	WP-364	งานเทคอนกรีตทางเชื่อม
WP-46	WP-46-06	WP-365	งานขัดผิวคอนกรีตทางเชื่อม
WP-46	WP-46-07	WP-366	งานถอดแบบทางเชื่อม
WP-46	WP-46-08	WP-367	งานทำเขิบทางเชื่อม
WP-46	WP-46-09	WP-368	งานทาสีเขิบทางเชื่อม
	WP-47	WP-369	งานทางดาดทางเชื่อม
WP-47	WP-47-01	WP-370	งานปรับพื้นเตรียมทำดาดทางเชื่อม
WP-47	WP-47-02	WP-371	งานวางไวร์เมชทางเชื่อม
WP-47	WP-47-03	WP-372	งานเทคอนกรีตทางเชื่อม
WP-47	WP-47-04	WP-373	งานขัดผิวคอนกรีตทางเชื่อม
