code	sub_of	prefix	name	old_id	source_note
A-04-02	A-04	A	งานปูกระเบื้องพื้นของพื้นห้องตัดแต่ง	WP-212	เดิม: WP-212
A-04-03	A-04	A	งานปูกระเบื้องพื้นของพื้นคลังแห้ง	WP-213	เดิม: WP-213
A-04-04	A-04	A	งานปูกระเบื้องพื้นของพื้นห้องน้ำ	WP-214	เดิม: WP-214
A-04-05	A-04	A	งานปูกระเบื้องผนังห้องน้ำ	WP-215	เดิม: WP-215
A-04-06	A-04	A	งานปูกระเบื้องพื้นของพื้นที่เทอเรส	WP-217	เดิม: WP-217
A-04-07	A-04	A	งานปูกระเบื้องบัวของพื้นที่ขาย	WP-218	เดิม: WP-218
A-04-08	A-04	A	งานปูกระเบื้องบัวของพื้นห้องตัดแต่ง	WP-452	เดิม: WP-452
A-04-09	A-04	A	งานปูกระเบื้องบัวของพื้นคลังแห้ง	WP-453	เดิม: WP-453
A-04-10	A-04	A	งานปูกระเบื้องบัวของพื้นเทอเรส	WP-219	เดิม: WP-219
A-04-11	A-04	A	งานปูกระเบื้องขอบของพื้นเทอเรส	WP-454	เดิม: WP-454
A-04-12	A-04	A	งานติดตั้งจมูกกระเบื้อง	WP-220	เดิม: WP-220
A-04-13	A-04	A	งานติดตั้งคิ้วกระเบื้อง	WP-221	เดิม: WP-221
PL-06		PL	งานน้ำดีภายในอาคาร	WP-303	เดิม: WP-303
PL-06-01	PL-06	PL	งานติดตั้งท่อน้ำดีภายในอาคาร	WP-190	เดิม: WP-190
A-05		A	งานหลังคา ครอบ ไซด์ดิ่ง แฟรชชิ่ง ฝ้ามเทัลชีท	WP-288	เดิม: WP-288
A-05-01	A-05	A	งานติดตั้งแผ่นหลังคาเมทัลชีทพร้อมแด๊ป	WP-189	เดิม: WP-189
A-05-02	A-05	A	งานติดตั้งไซด์ดิ้งพร้อมแด๊ป	WP-191	เดิม: WP-191
A-05-03	A-05	A	งานติดตั้งฝ้าเมทัลชีทพร้อมแด๊ป	WP-192	เดิม: WP-192
A-05-04	A-05	A	งานติดตั้งครอบพร้อมแด๊ป	WP-193	เดิม: WP-193
A-05-05	A-05	A	งานติดตั้งเฟรชชิ่งพร้อมแด๊ป	WP-194	เดิม: WP-194
A-06		A	งาน Isowall	WP-289	เดิม: WP-289
A-06-01	A-06	A	งานทำเขิบ Isowall	WP-196	เดิม: WP-196
A-06-02	A-06	A	งานติดตั้ง Isowall	WP-197	เดิม: WP-197
A-06-03	A-06	A	งานเจาะผนัง Isowall	WP-198	เดิม: WP-198
A-07		A	งานประตู	WP-290	เดิม: WP-290
A-07-01	A-07	A	งานติดตั้งประตูเหวี่ยงพร้อมธรณีประตู	WP-199	เดิม: WP-199
A-08		A	งานอลูมิเนียมคอมโพสิต	WP-291	เดิม: WP-291
A-08-01	A-08	A	งานทาสีรองพื้นซัพพอร์ตอลูมิเนียมคอมโพสิต	WP-344	เดิม: WP-344
A-08-02	A-08	A	งานทาสีจริงซัพพอร์ตอลูมิเนียมคอมโพสิต	WP-345	เดิม: WP-345
A-08-03	A-08	A	งานติดตั้งซัพพอร์ตอลูมิเนียมคอมโพสิต	WP-346	เดิม: WP-346
A-08-04	A-08	A	งานติดตั้งเสาอลูมิเนียมคอมโพสิต	WP-202	เดิม: WP-202
A-08-05	A-08	A	งานติดตั้งฝ้า Canopy	WP-347	เดิม: WP-347
H-02		H	งานกั้นและระบายอากาศ	WP-292	เดิม: WP-292
H-02-01	H-02	H	งานติดตั้งม่านริ้วกั้นอากาศสีเหลือง	WP-207	เดิม: WP-207
H-02-02	H-02	H	งานติดตั้งพัดลมดูดอากาศและพัดลมโคจร	WP-208	เดิม: WP-208
H-02-03	H-02	H	งานติดตั้งฮูดพัดลม	WP-209	เดิม: WP-209
A-09		A	งานสุขภัณฑ์	WP-293	เดิม: WP-293
A-09-01	A-09	A	งานติดตั้งสุขภัณฑ์และป้ายห้องน้ำ	WP-216	เดิม: WP-216
A-10		A	งานติดตั้งฟลอร์เดรน FCO และรางกัตเตอร์ภายในอาคาร	WP-348	เดิม: WP-348
A-10-01	A-10	A	งานติดตั้งฟลอร์เดรนภายในอาคาร	WP-222	เดิม: WP-222
A-10-02	A-10	A	งานติดตั้ง FCO ภายในอาคาร	WP-349	เดิม: WP-349
A-10-03	A-10	A	งานติดตั้งรางกัตเตอร์ลานโหลด	WP-223	เดิม: WP-223
A-10-04	A-10	A	งานติดตั้งรางกัตเตอร์ภายในอาคาร	WP-224	เดิม: WP-224
A-11		A	งานฝ้าทีบาร์	WP-295	เดิม: WP-295
A-11-01	A-11	A	งานติดตั้งโครงฝ้าทีบาร์พื้นที่ขาย	WP-228	เดิม: WP-228
A-11-02	A-11	A	งานติดตั้งโครงฝ้าทีบาร์พื้นที่ตัดแต่ง และห้องคลังแห้ง	WP-350	เดิม: WP-350
A-11-03	A-11	A	งานติดตั้งโครงฝ้าทีบาร์ห้องน้ำ	WP-351	เดิม: WP-351
A-11-04	A-11	A	งานติดตั้งแผ่นฝ้าทีบาร์พื้นที่ขาย	WP-229	เดิม: WP-229
A-11-05	A-11	A	งานติดตั้งแผ่นฝ้าทีบาร์พื้นที่ตัดแต่ง และห้องคลังแห้ง	WP-352	เดิม: WP-352
A-11-06	A-11	A	งานติดตั้งแผ่นฝ้าทีบาร์ห้องน้ำ	WP-353	เดิม: WP-353
SIS-01		SIS	งานระบบความปลอดภัยภายในอาคาร	WP-296	เดิม: WP-296
SIS-01-01	SIS-01	SIS	งานติดตั้งไฟฉุกเฉิน	WP-230	เดิม: WP-230
SIS-01-02	SIS-01	SIS	งานติดตั้งป้ายหนีไฟ	WP-231	เดิม: WP-231
SIS-01-03	SIS-01	SIS	งานติดตั้งไฟแจ้งเตือนของประตูหนีไฟพร้อมลิมิตสวิทช์	WP-232	เดิม: WP-232
SIS-01-04	SIS-01	SIS	งานติดตั้งส่งเสียงเข้าร้าน	WP-233	เดิม: WP-233
SIS-01-05	SIS-01	SIS	งานติดตั้งประตูหนีไฟ	WP-455	เดิม: WP-455
E-07		E	งานสัญญาณอินเตอร์เน็ต	WP-297	เดิม: WP-297
E-07-01	E-07	E	งานติดตั้งรางไวร์เวย์ของสายแลน	WP-234	เดิม: WP-234
E-08		E	งานตู้โหลดไฟฟ้า	WP-298	เดิม: WP-298
E-08-01	E-08	E	งานติดตั้งตู้โหลด	WP-235	เดิม: WP-235
E-08-02	E-08	E	งานติดตั้งตู้ไทม์เมอร์	WP-236	เดิม: WP-236
E-08-03	E-08	E	งานติดตั้งตู้ดิจิตอล	WP-237	เดิม: WP-237
F-01		F	งานสั่งประกอบ	WP-299	เดิม: WP-299
F-01-01	F-01	F	งานติดตั้งที่ใส่ลังกระดาษ	WP-243	เดิม: WP-243
F-01-02	F-01	F	งานติดตั้งที่จอดรถเข็น	WP-244	เดิม: WP-244
F-01-03	F-01	F	งานติดตั้งพรม	WP-245	เดิม: WP-245
PL-07		PL	งานน้ำดีภายนอกอาคาร	WP-302	เดิม: WP-302
PL-07-01	PL-07	PL	งานติดตั้งท่อน้ำดีภายนอกอาคาร	WP-242	เดิม: WP-242
PL-07-02	PL-07	PL	งานติดตั้งท่อน้ำดีร้านเช่า (Kios)	WP-456	เดิม: WP-456
EX-08		EX	งานเบ็ดเตล็ดภายนอกอาคาร	WP-300	เดิม: WP-300
EX-08-01	EX-08	EX	งานทำแลมป์หน้าทางเข้า	WP-246	เดิม: WP-246
EX-08-02	EX-08	EX	งานก่อฐาน Kios	WP-247	เดิม: WP-247
EX-08-03	EX-08	EX	งานทำเขิบรอบอาคารและภายในลานโหลด	WP-254	เดิม: WP-254
EX-08-04	EX-08	EX	งานทาสีเขิบรอบอาคารและภายในลานโหลด	WP-255	เดิม: WP-255
SIS-02		SIS	งานจราจรและความปลอดภัย	WP-301	เดิม: WP-301
SIS-02-01	SIS-02	SIS	งานทาสีรองพื้นเหล็กรูปพรรณเสากันชน	WP-249	เดิม: WP-249
SIS-02-02	SIS-02	SIS	งานติดตั้งเสากันชน	WP-250	เดิม: WP-250
SIS-02-03	SIS-02	SIS	งานทาสีจริงเหล็กรูปพรรณเสากันชน (สีเหลือง 2 สีดำ 3)	WP-251	เดิม: WP-251
SIS-02-04	SIS-02	SIS	งานติดตั้งเขิบกั้นรถ	WP-252	เดิม: WP-252
SIS-02-05	SIS-02	SIS	งานทาสีเขิบกั้นรถ (สีเหลือง 3 สีดำ 2)	WP-253	เดิม: WP-253
SIS-02-06	SIS-02	SIS	งานตีเส้นจราจร	WP-256	เดิม: WP-256
SIS-02-07	SIS-02	SIS	งานตัดจ้อยรอบอาคารและลานด้านนอก	WP-260	เดิม: WP-260
SIS-02-08	SIS-02	SIS	งานหยอดยางมะตอยรอบอาคารและลานด้านนอก	WP-261	เดิม: WP-261
SG-01		SG	งานป้ายจราจร	WP-457	เดิม: WP-457
SG-01-01	SG-01	SG	งานทาสีรองพื้นเหล็กรูปพรรณเสาป้ายจอดรถและคนพิการ	WP-354	เดิม: WP-354
SG-01-02	SG-01	SG	งานทาสีจริงเหล็กรูปพรรณเสาป้ายจอดรถและคนพิการ	WP-355	เดิม: WP-355
SG-01-03	SG-01	SG	งานติดตั้งป้ายจอดรถและคนพิการ	WP-356	เดิม: WP-356
EX-09		EX	งานทางเชื่อม	WP-306	เดิม: WP-306
