code	sub_of	prefix	name	old_id	source_note
S-02-36	S-02	S	งานเข้าแบบคานอาคาร	WP-089	เดิม: WP-089
S-02-37	S-02	S	งานเข้าแบบตอม่ออาคาร	WP-090	เดิม: WP-090
S-02-38	S-02	S	งานเข้าแบบพื้นอาคาร	WP-092	เดิม: WP-092
S-02-39	S-02	S	งานเทคอนกรีตตอม่ออาคาร	WP-095	เดิม: WP-095
S-02-40	S-02	S	งานเทคอนกรีต Drop Panel	WP-096	เดิม: WP-096
S-02-41	S-02	S	งานเทคอนกรีตพื้นอาคาร	WP-098	เดิม: WP-098
S-02-42	S-02	S	งานขัดผิวพื้นคอนกรีตพื้นอาคารห้องเย็น	WP-101	เดิม: WP-101
S-02-43	S-02	S	งานถอดแบบตอม่ออาคาร	WP-100	เดิม: WP-100
S-02-44	S-02	S	งานถอดแบบพื้นอาคาร	WP-103	เดิม: WP-103
PL-01		PL	งานท่อน้ำเสียภายในอาคาร	WP-294	เดิม: WP-294
PL-01-01	PL-01	PL	งานวางท่อน้ำเสียภายในอาคาร	WP-023	เดิม: WP-023
PL-02		PL	งานชุดบ่อบำบัด	WP-267	เดิม: WP-267
PL-02-01	PL-02	PL	งานผูกเหล็กเสริมฐานรากชุดบ่อบำบัด	WP-015	เดิม: WP-015
PL-02-02	PL-02	PL	งานบดอัดดินเดิมของชุดบ่อบำบัด	WP-383	เดิม: WP-383 · ใหม่ (Vol.4)
PL-02-03	PL-02	PL	งานหาพิกัดและระดับพื้นชุดบ่อบำบัด	WP-384	เดิม: WP-384 · ใหม่ (Vol.4)
PL-02-04	PL-02	PL	งานเททรายบดอัดลีนพื้นชุดบ่อบำบัด	WP-038	เดิม: WP-038
PL-02-05	PL-02	PL	งานลีนพื้นชุดบ่อบำบัด (เข้าแบบ เทลีน ถอดแบบ)	WP-045	เดิม: WP-045
PL-02-06	PL-02	PL	งานวางเหล็กเสริม คลส. ชุดบ่อบำบัด	WP-058	เดิม: WP-058
PL-02-07	PL-02	PL	งานติดตั้งลูกปูนหนุนเหล็กตอม่ออาคาร	WP-474	เดิม: WP-474
PL-02-08	PL-02	PL	งานเข้าแบบชุดบ่อบำบัด	WP-062	เดิม: WP-062
PL-02-09	PL-02	PL	งานเทคอนกรีตชุดบ่อบำบัด	WP-066	เดิม: WP-066
PL-02-10	PL-02	PL	งานถอดแบบชุดบ่อบำบัด	WP-070	เดิม: WP-070
PL-02-11	PL-02	PL	งานวางชุดถังบำบัด	WP-072	เดิม: WP-072
PL-02-12	PL-02	PL	งานต่อท่อชุดถังบำบัด	WP-073	เดิม: WP-073
PL-02-13	PL-02	PL	งานก่อ ยกระดับฝาชุดบ่อบำบัด	WP-114	เดิม: WP-114
PL-02-14	PL-02	PL	งานทาสีชุดฝาบ่อบำบัด	WP-115	เดิม: WP-115
PL-02-15	PL-02	PL	งานเติมจุลินทรีย์ชุดถังบำบัด	WP-262	เดิม: WP-262
PL-03		PL	งานบ่อซึม	WP-270	เดิม: WP-270
PL-03-01	PL-03	PL	งานลงบ่อซึม	WP-055	เดิม: WP-055
PL-03-02	PL-03	PL	งานต่อท่อบ่อซึม	WP-074	เดิม: WP-074
PL-03-03	PL-03	PL	งานก่อ ยกระดับฝาบ่อซึม	WP-116	เดิม: WP-116
PL-03-04	PL-03	PL	งานติดตั้ง FCO ฝาบ่อซึม	WP-328	เดิม: WP-328
S-03		S	งานโครงเหล็กอาคาร โครงหลังคา โครงป้ายไวนิล และโครงรางน้ำ	WP-264	เดิม: WP-264
S-03-01	S-03	S	งานทาสีรองพื้นเหล็กรูปพรรณโครงถัก (Truss) หลังคา	WP-008	เดิม: WP-008
S-03-02	S-03	S	งานทาสีรองพื้นเหล็กรูปพรรณโครงซัพพอร์ตรางน้ำด้านหน้า	WP-025	เดิม: WP-025
S-03-03	S-03	S	งานทาสีรองพื้นเหล็กรูปพรรณโครงซัพพอร์ตรางน้ำด้านซ้ายและด้านขวาของอาคาร	WP-028	เดิม: WP-028
S-03-04	S-03	S	งานทาสีจริงเหล็กรูปพรรณโครงถัก (Truss) หลังคา	WP-018	เดิม: WP-018
S-03-05	S-03	S	งานทาสีจริงเหล็กรูปพรรณโครงซัพพอร์ตรางน้ำด้านหน้า	WP-026	เดิม: WP-026
S-03-06	S-03	S	งานทาสีจริงเหล็กรูปพรรณโครงซัพพอร์ตรางน้ำด้านซ้ายและด้านขวาของอาคาร	WP-029	เดิม: WP-029
S-03-07	S-03	S	งานประกอบโครงถัก (Truss) หลังคา	WP-024	เดิม: WP-024
S-03-08	S-03	S	งานติดตั้ง TURN BUCKLE (เกลียวเร่ง) และ WITH ROD (แกนเหล็กยึด) DB16	WP-469	เดิม: WP-469 · ใหม่ (Vol.4)
S-03-09	S-03	S	งานประกอบโครงซัพพอร์ตรางน้ำด้านหน้า	WP-027	เดิม: WP-027
S-03-10	S-03	S	งานประกอบโครงซัพพอร์ตรางน้ำด้านซ้ายและด้านขวาของอาคาร	WP-030	เดิม: WP-030
S-03-11	S-03	S	งานติดตั้งเพลทเสาอาคาร	WP-093	เดิม: WP-093
S-03-12	S-03	S	งานติดตั้งเสาอาคาร	WP-180	เดิม: WP-180
S-03-13	S-03	S	งานติดตั้งโครงถัก (Truss) หลังคา	WP-181	เดิม: WP-181
S-03-14	S-03	S	งานติดตั้งโครงซัพพอร์ตรางน้ำด้านหน้า	WP-185	เดิม: WP-185
S-03-15	S-03	S	งานติดตั้งโครงซัพพอร์ตรางน้ำด้านซ้ายและด้านขวาของอาคาร	WP-186	เดิม: WP-186
S-03-16	S-03	EX	งานติดตั้งเพลทเสาไฟส่องสว่างภายนอกอาคาร พื้นลานด้านหน้า บล็อคที่ 1	WP-479	เดิม: WP-479 · ใหม่ (Vol.4)
S-03-17	S-03	EX	งานติดตั้งเพลทเสาไฟส่องสว่างภายนอกอาคาร พื้นลานด้านหน้า บล็อคที่ 4	WP-480	เดิม: WP-480 · ใหม่ (Vol.4)
S-03-18	S-03	EX	งานติดตั้งเพลทเสาไฟส่องสว่างภายนอกอาคาร พื้นลานด้านหลังอาคาร	WP-478	เดิม: WP-478
PL-04		PL	งานระบายน้ำฝน	WP-435	เดิม: WP-435
PL-04-01	PL-04	PL	งานติดตั้งรางน้ำสแตนเลส	WP-187	เดิม: WP-187
PL-04-02	PL-04	PL	งานติดตั้งรางน้ำ PVC	WP-434	เดิม: WP-434
PL-04-03	PL-04	PL	งานติดตั้งหัวกะโหลกรางน้ำ	WP-188	เดิม: WP-188
S-04		S	งานฐานราก Tower	WP-268	เดิม: WP-268
S-04-01	S-04	S	งานผูกเหล็กเสริมฐานราก Tower	WP-016	เดิม: WP-016
S-04-02	S-04	S	งานผูกเหล็กเสริมคานคอนกรีตอาคาร	WP-311	เดิม: WP-311
S-04-03	S-04	S	งานผูกเหล็กเสริมตอม่อ Tower	WP-017	เดิม: WP-017
S-04-04	S-04	S	งานบดอัดดินเดิมของพื้นฐานราก Tower	WP-387	เดิม: WP-387 · ใหม่ (Vol.4)
S-04-05	S-04	S	งานหาพิกัดและระดับพื้นฐานราก Tower	WP-388	เดิม: WP-388 · ใหม่ (Vol.4)
S-04-06	S-04	S	งานเททรายบดอัดลีนพื้นฐานราก Tower	WP-039	เดิม: WP-039
S-04-07	S-04	S	งานลีนพื้นฐานราก Tower (เข้าแบบ เทลีน ถอดแบบ)	WP-046	เดิม: WP-046
S-04-08	S-04	S	งานวางเหล็กเสริมฐานราก Tower	WP-059	เดิม: WP-059
S-04-09	S-04	S	งานติดตั้งลูกปูนหนุนเหล็กฐานราก Tower	WP-475	เดิม: WP-475
S-04-10	S-04	S	งานเข้าแบบฐานราก Tower	WP-063	เดิม: WP-063
S-04-11	S-04	S	งานเทคอนกรีตฐานราก Tower	WP-067	เดิม: WP-067
S-04-12	S-04	S	งานถอดแบบฐานราก Tower	WP-071	เดิม: WP-071
S-04-13	S-04	S	งานวางเหล็กเสริมคาน Tower	WP-312	เดิม: WP-312
S-04-14	S-04	S	งานติดตั้งลูกปูนหนุนเหล็กคานTower	WP-476	เดิม: WP-476
S-04-15	S-04	S	งานเข้าแบบคาน Tower	WP-313	เดิม: WP-313
S-04-16	S-04	S	งานเทคอนกรีตคาน Tower	WP-314	เดิม: WP-314
S-04-17	S-04	S	งานถอดแบบคาน Tower	WP-315	เดิม: WP-315
S-04-18	S-04	S	งานติดตั้ง L-Bolt และแผ่นเพลทรับเสา Tower	WP-389	เดิม: WP-389 · ใหม่ (Vol.4)
S-04-19	S-04	S	งานวางเหล็กเสริมตอม่อ Tower	WP-084	เดิม: WP-084
S-04-20	S-04	S	งานติดตั้งลูกปูนหนุนเหล็กตอม่อTower	WP-477	เดิม: WP-477
S-04-21	S-04	S	งานเข้าแบบตอม่อ Tower	WP-091	เดิม: WP-091
S-04-22	S-04	S	งานเทคอนกรีตตอม่อ Tower	WP-097	เดิม: WP-097
S-04-23	S-04	S	งานถอดแบบตอม่อ Tower	WP-102	เดิม: WP-102
S-05		S	งานเสา Tower	WP-316	เดิม: WP-316
S-05-01	S-05	S	งานทาสีรองพื้นขาเสา Tower	WP-317	เดิม: WP-317
S-05-02	S-05	S	งานทาสีจริงขาเสา Tower	WP-318	เดิม: WP-318
S-05-03	S-05	S	งานเชื่อมเพลทต่อทาบขาเสา (เชื่อมประกับขาเสา) Tower	WP-319	เดิม: WP-319
S-05-04	S-05	S	งานเชื่อมบันได Tower	WP-320	เดิม: WP-320
S-05-05	S-05	S	งานเชื่อมแพลทรับป้าย Tower	WP-321	เดิม: WP-321
S-05-06	S-05	S	งานยกติดตั้งเสา Tower	WP-323	เดิม: WP-323
PL-05		PL	งานบ่อพักน้ำฝน	WP-266	เดิม: WP-266
PL-05-01	PL-05	PL	งานหล่อบ่อพักน้ำฝน	WP-009	เดิม: WP-009
PL-05-02	PL-05	PL	งานหล่อฝาบ่อพักน้ำฝน	WP-010	เดิม: WP-010
PL-05-03	PL-05	PL	งานขุดเพื่อวางท่อและบ่อพักรอบอาคาร	WP-104	เดิม: WP-104
PL-05-04	PL-05	PL	งานวางบ่อพักด้านหลังอาคาร	WP-105	เดิม: WP-105
PL-05-05	PL-05	PL	งานต่อท่อบ่อพักด้านหลังอาคาร	WP-106	เดิม: WP-106
PL-05-06	PL-05	PL	งานก่ออิฐยกระดับกรอบฝาบ่อพักด้านหลัง	WP-107	เดิม: WP-107
PL-05-07	PL-05	PL	งานติดตั้งท่อรางน้ำลงบ่อพักด้านหลัง	WP-109	เดิม: WP-109
PL-05-08	PL-05	PL	งานต่อท่อรางน้ำเข้าบ่อพักด้านหลัง	WP-324	เดิม: WP-324
PL-05-09	PL-05	PL	งานติดตั้งฝาบ่อพักด้านหลัง	WP-437	เดิม: WP-437
PL-05-10	PL-05	PL	งานวางบ่อพักด้านขวาของอาคาร	WP-122	เดิม: WP-122
PL-05-11	PL-05	PL	งานต่อท่อบ่อพักด้านขวาของอาคาร	WP-123	เดิม: WP-123
PL-05-12	PL-05	PL	งานก่ออิฐยกระดับกรอบฝาบ่อพักด้านขวาของอาคาร	WP-124	เดิม: WP-124
PL-05-13	PL-05	PL	งานติดตั้งท่อรางน้ำลงบ่อพักด้านขวาของอาคาร	WP-126	เดิม: WP-126
PL-05-14	PL-05	PL	งานต่อท่อรางน้ำเข้าบ่อพักด้านขวาของอาคาร	WP-325	เดิม: WP-325
PL-05-15	PL-05	PL	งานติดตั้งฝาบ่อพักด้านขวาของอาคาร	WP-438	เดิม: WP-438
PL-05-16	PL-05	PL	งานวางบ่อพักด้านซ้ายของอาคาร	WP-131	เดิม: WP-131
PL-05-17	PL-05	PL	งานต่อท่อบ่อพักด้านซ้ายของอาคาร	WP-132	เดิม: WP-132
PL-05-18	PL-05	PL	งานก่ออิฐยกระดับกรอบฝาบ่อพักด้านซ้ายของอาคาร	WP-133	เดิม: WP-133
PL-05-19	PL-05	PL	งานติดตั้งท่อรางน้ำลงบ่อพักด้านซ้ายของอาคาร	WP-135	เดิม: WP-135
PL-05-20	PL-05	PL	งานต่อท่อรางน้ำเข้าบ่อพักด้านซ้ายของอาคาร	WP-326	เดิม: WP-326
PL-05-21	PL-05	PL	งานติดตั้งฝาบ่อพักด้านซ้ายของอาคาร	WP-439	เดิม: WP-439
PL-05-22	PL-05	PL	งานวางบ่อพักด้านหน้า	WP-140	เดิม: WP-140
PL-05-23	PL-05	PL	งานต่อท่อบ่อพักด้านหน้า	WP-141	เดิม: WP-141
PL-05-24	PL-05	PL	งานก่ออิฐยกระดับกรอบฝาบ่อพักด้านหน้า	WP-142	เดิม: WP-142
PL-05-25	PL-05	PL	งานต่อท่อรางน้ำเข้าบ่อพักด้านหน้า	WP-327	เดิม: WP-327
PL-05-26	PL-05	PL	งานติดตั้งฝาบ่อพักด้านหน้า	WP-436	เดิม: WP-436
E-01		E	งานระบบไฟฟ้าเมนภายในอาคาร	WP-271	เดิม: WP-271
E-01-01	E-01	E	งานติดตั้งกราวด์	WP-075	เดิม: WP-075
E-01-02	E-01	E	งานวางท่อร้อยสายไฟใต้พื้นอาคารก่อนปรับพื้นเพื่อปูกระเบื้อง	WP-182	เดิม: WP-182
E-01-03	E-01	E	งานติดตั้งท่อร้อยสายไฟภายในอาคาร	WP-225	เดิม: WP-225
E-01-04	E-01	E	งานเดินสายไฟเมนภายในอาคาร	WP-226	เดิม: WP-226
E-02		E	งานระบบไฟฟ้าเมนภายนอกอาคาร	WP-272	เดิม: WP-272
E-02-01	E-02	E	งานเดินสายไฟเมนภายนอกอาคาร	WP-240	เดิม: WP-240
E-02-02	E-02	E	งานทาสีรองพื้นเหล็กรูปพรรณแร็คไฟฟ้า	WP-390	เดิม: WP-390 · ใหม่ (Vol.4)
E-02-03	E-02	E	งานทาสีจริงเหล็กรูปพรรณแร็คไฟฟ้า	WP-391	เดิม: WP-391 · ใหม่ (Vol.4)
E-02-04	E-02	E	งานประกอบแร็คไฟฟ้า	WP-392	เดิม: WP-392 · ใหม่ (Vol.4)
E-02-05	E-02	E	งานติดตั้งแร็คไฟฟ้า	WP-393	เดิม: WP-393 · ใหม่ (Vol.4)
E-03		E	งานปลั๊กและสวิตช์ไฟภายในอาคาร	WP-273	เดิม: WP-273
E-03-01	E-03	E	งานทาสีรองพื้นเหล็กรูปพรรณรางซัพพอร์ทปลั๊กไฟตู้แช่	WP-160	เดิม: WP-160
E-03-02	E-03	E	งานทาสีจริงเหล็กรูปพรรณรางซัพพอร์ทปลั๊กไฟตู้แช่	WP-161	เดิม: WP-161
E-03-03	E-03	E	งานประกอบรางซัพพอร์ทปลั๊กไฟตู้แช่	WP-162	เดิม: WP-162
E-03-04	E-03	E	งานติดตั้งรางซัพพอร์ทปลั๊กไฟตู้แช่	WP-201	เดิม: WP-201
E-03-05	E-03	E	งานติดตั้งปลั๊กไฟและสวิทช์พร้อมติดสติ๊กเกอร์	WP-227	เดิม: WP-227
E-04		E	งานปลั๊กและสวิตช์ไฟภายนอกอาคาร	WP-274	เดิม: WP-274
E-04-01	E-04	E	งานทาสีรองพื้นเหล็กรูปพรรณเสาไฟส่องสว่างภายนอกอาคาร	WP-163	เดิม: WP-163
E-04-02	E-04	E	งานทาสีจริงเหล็กรูปพรรณเสาไฟส่องสว่างภายนอกอาคาร	WP-164	เดิม: WP-164
E-04-03	E-04	E	งานทาสีรองพื้นเหล็กรูปพรรณซัพพอร์ตไฟสปอร์ตไลท์	WP-165	เดิม: WP-165
E-04-04	E-04	E	งานทาสีจริงเหล็กรูปพรรณเสาไฟทางซัพพอร์ตไฟสปอร์ตไลท์	WP-166	เดิม: WP-166
E-04-05	E-04	E	งานประกอบซัพพอร์ตไฟสปอร์ตไลท์	WP-394	เดิม: WP-394 · ใหม่ (Vol.4)
E-04-06	E-04	E	งานติดตั้งซัพพอร์ตไฟสปอร์ตไลท์	WP-195	เดิม: WP-195
E-04-07	E-04	E	งานติดตั้งเสาไฟส่องสว่างภายนอกอาคาร	WP-241	เดิม: WP-241
E-04-08	E-04	E	งานติดตั้งตู้ไฟร้านเช่า (Kios)	WP-248	เดิม: WP-248
E-05		E	งานไฟส่องสว่างบริเวณภายในอาคาร	WP-275	เดิม: WP-275
E-05-01	E-05	E	งานติดตั้งไฟส่องสว่างภายในอาคารบริเวณพื้นที่ขาย	WP-258	เดิม: WP-258
E-05-02	E-05	E	งานติดตั้งไฟส่องสว่างภายในอาคารบริเวณพื้ื้นที่ห้องตัดแต่ง ห้องคลังแห้ง ห้องน้ำ และลานโหลด	WP-395	เดิม: WP-395 · ใหม่ (Vol.4)
E-05-03	E-05	E	งานติดตั้งไฟส่องสว่างบริเวณพื้นที่รอบอาคาร	WP-396	เดิม: WP-396 · ใหม่ (Vol.4)
E-06		E	งานไฟส่องสว่างภายนอกอาคาร	WP-276	เดิม: WP-276
E-06-01	E-06	E	งานติดตั้งไฟส่องสว่างภายนอกอาคาร	WP-259	เดิม: WP-259
E-06-02	E-06	E	งานติดตั้งไฟสปอร์ตไลท์	WP-397	เดิม: WP-397 · ใหม่ (Vol.4)
EX-02		EX	งานพื้นลานด้านหน้า	WP-277	เดิม: WP-277
EX-02-01	EX-02	EX	งานปรับระดับทรายบดอัดพื้นลานด้านหน้า บล็อคที่ 1	WP-143	เดิม: WP-143
EX-02-02	EX-02	EX	งานเข้าแบบพื้นลานด้านหน้า บล็อคที่ 1	WP-144	เดิม: WP-144
EX-02-03	EX-02	EX	งานวางไวร์เมชพื้นลานด้านหน้า บล็อคที่ 1	WP-145	เดิม: WP-145
EX-02-04	EX-02	EX	งานติดตั้งลูกปูนหนุนเหล็กไวร์เมช พื้นลานด้านหน้า บล็อคที่ 1	WP-440	เดิม: WP-440
EX-02-05	EX-02	EX	งานเทคอนกรีตพื้นลานด้านหน้า บล็อคที่ 1	WP-146	เดิม: WP-146
EX-02-06	EX-02	EX	งานขัดผิวพื้นคอนกรีตลานด้านหน้า บล็อคที่ 1	WP-329	เดิม: WP-329
EX-02-07	EX-02	EX	งานถอดแบบพื้นลานด้านหน้า บล็อคที่ 1	WP-330	เดิม: WP-330
EX-02-08	EX-02	EX	งานปรับระดับทรายบดอัดพื้นลานด้านหน้า บล็อคที่ 2	WP-397	เดิม: WP-397 · ใหม่ (Vol.4)
EX-02-09	EX-02	EX	งานเข้าแบบพื้นลานด้านหน้า บล็อคที่ 2	WP-398	เดิม: WP-398 · ใหม่ (Vol.4)
EX-02-10	EX-02	EX	งานวางไวร์เมชพื้นลานด้านหน้า บล็อคที่ 2	WP-399	เดิม: WP-399 · ใหม่ (Vol.4)
EX-02-11	EX-02	EX	งานติดตั้งลูกปูนหนุนเหล็กไวร์เมช พื้นลานด้านหน้า บล็อคที่ 2	WP-441	เดิม: WP-441 · ใหม่ (Vol.4)
EX-02-12	EX-02	EX	งานเทคอนกรีตพื้นลานด้านหน้า บล็อคที่ 2	WP-400	เดิม: WP-400 · ใหม่ (Vol.4)
EX-02-13	EX-02	EX	งานขัดผิวพื้นคอนกรีตลานด้านหน้า บล็อคที่ 2	WP-401	เดิม: WP-401 · ใหม่ (Vol.4)
EX-02-14	EX-02	EX	งานถอดแบบพื้นลานด้านหน้า บล็อคที่ 2	WP-402	เดิม: WP-402 · ใหม่ (Vol.4)
EX-02-15	EX-02	EX	งานปรับระดับทรายบดอัดพื้นลานด้านหน้า บล็อคที่ 3	WP-403	เดิม: WP-403 · ใหม่ (Vol.4)
EX-02-16	EX-02	EX	งานเข้าแบบพื้นลานด้านหน้า บล็อคที่ 3	WP-404	เดิม: WP-404 · ใหม่ (Vol.4)
EX-02-17	EX-02	EX	งานวางไวร์เมชพื้นลานด้านหน้า บล็อคที่ 3	WP-405	เดิม: WP-405 · ใหม่ (Vol.4)
EX-02-18	EX-02	EX	งานติดตั้งลูกปูนหนุนเหล็กไวร์เมช พื้นลานด้านหน้า บล็อคที่ 3	WP-442	เดิม: WP-442 · ใหม่ (Vol.4)
EX-02-19	EX-02	EX	งานเทคอนกรีตพื้นลานด้านหน้า บล็อคที่ 3	WP-406	เดิม: WP-406 · ใหม่ (Vol.4)
EX-02-20	EX-02	EX	งานขัดผิวพื้นคอนกรีตลานด้านหน้า บล็อคที่ 3	WP-407	เดิม: WP-407 · ใหม่ (Vol.4)
EX-02-21	EX-02	EX	งานถอดแบบพื้นลานด้านหน้า บล็อคที่ 3	WP-408	เดิม: WP-408 · ใหม่ (Vol.4)
EX-02-22	EX-02	EX	งานปรับระดับทรายบดอัดพื้นลานด้านหน้า บล็อคที่ 4	WP-409	เดิม: WP-409 · ใหม่ (Vol.4)
EX-02-23	EX-02	EX	งานเข้าแบบพื้นลานด้านหน้า บล็อคที่ 4	WP-410	เดิม: WP-410 · ใหม่ (Vol.4)
EX-02-24	EX-02	EX	งานวางไวร์เมชพื้นลานด้านหน้า บล็อคที่ 4	WP-411	เดิม: WP-411 · ใหม่ (Vol.4)
EX-02-25	EX-02	EX	งานติดตั้งลูกปูนหนุนเหล็กไวร์เมช พื้นลานด้านหน้า บล็อคที่ 4	WP-443	เดิม: WP-443 · ใหม่ (Vol.4)
EX-02-26	EX-02	EX	งานเทคอนกรีตพื้นลานด้านหน้า บล็อคที่ 4	WP-412	เดิม: WP-412 · ใหม่ (Vol.4)
EX-02-27	EX-02	EX	งานขัดผิวพื้นคอนกรีตลานด้านหน้า บล็อคที่ 4	WP-413	เดิม: WP-413 · ใหม่ (Vol.4)
EX-02-28	EX-02	EX	งานถอดแบบพื้นลานด้านหน้า บล็อคที่ 4	WP-414	เดิม: WP-414 · ใหม่ (Vol.4)
EX-03		EX	งานพื้นลานด้านข้าง	WP-278	เดิม: WP-278
EX-03-01	EX-03	EX	งานปรับระดับทรายบดอัดพื้นลานด้านขวาของอาคาร	WP-125	เดิม: WP-125
EX-03-02	EX-03	EX	งานเข้าแบบพื้นลานด้านขวาของอาคาร	WP-127	เดิม: WP-127
EX-03-03	EX-03	EX	งานวางไวร์เมชพื้นลานด้านขวาของอาคาร	WP-128	เดิม: WP-128
EX-03-04	EX-03	EX	งานติดตั้งลูกปูนหนุนเหล็กไวร์เมชพื้นลานด้านขวาของอาคาร	WP-444	เดิม: WP-444
EX-03-05	EX-03	EX	งานเทคอนกรีตพื้นลานด้านขวาของอาคาร	WP-129	เดิม: WP-129
EX-03-06	EX-03	EX	งานขัดผิวพื้นคอนกรีตลานด้านขวาของอาคาร	WP-331	เดิม: WP-331
EX-03-07	EX-03	EX	งานถอดแบบพื้นลานด้านขวาของอาคาร	WP-332	เดิม: WP-332
EX-03-08	EX-03	EX	งานทำรางวีพื้นลานด้านขวาของอาคาร	WP-130	เดิม: WP-130
EX-03-09	EX-03	EX	งานปรับระดับทรายบดอัดพื้นลานด้านซ้ายของอาคาร	WP-134	เดิม: WP-134
EX-03-10	EX-03	EX	งานเข้าแบบพื้นลานด้านซ้ายของอาคาร	WP-136	เดิม: WP-136
EX-03-11	EX-03	EX	งานวางไวร์เมชพื้นลานด้านซ้ายของอาคาร	WP-137	เดิม: WP-137
EX-03-12	EX-03	EX	งานติดตั้งลูกปูนหนุนเหล็กไวร์เมชพื้นลานด้านซ้ายของอาคาร	WP-445	เดิม: WP-445
EX-03-13	EX-03	EX	งานเทคอนกรีตพื้นลานด้านซ้ายของอาคาร	WP-138	เดิม: WP-138
EX-03-14	EX-03	EX	งานขัดผิวพื้นคอนกรีตลานด้านซ้ายของอาคาร	WP-333	เดิม: WP-333
EX-03-15	EX-03	EX	งานถอดแบบพื้นลานด้านซ้ายของอาคาร	WP-334	เดิม: WP-334
EX-03-16	EX-03	EX	งานทำรางวีพื้นลานด้านซ้ายของอาคาร	WP-139	เดิม: WP-139
EX-04		EX	งานพื้นลานด้านหลัง	WP-279	เดิม: WP-279
EX-04-01	EX-04	EX	งานปรับระดับทรายบดอัดพื้นลานด้านหลังอาคาร	WP-108	เดิม: WP-108
EX-04-02	EX-04	EX	งานเข้าแบบพื้นลานด้านหลังอาคาร	WP-110	เดิม: WP-110
EX-04-03	EX-04	EX	งานวางไวร์เมชพื้นลานด้านหลังอาคาร	WP-111	เดิม: WP-111
EX-04-04	EX-04	EX	งานติดตั้งลูกปูนหนุนเหล็กไวร์เมชพื้นลานด้านหลังอาคาร	WP-446	เดิม: WP-446
EX-04-05	EX-04	EX	งานเทคอนกรีตพื้นลานด้านหลังอาคาร	WP-112	เดิม: WP-112
EX-04-06	EX-04	EX	งานขัดผิวพื้นคอนกรีตลานด้านหลังอาคาร	WP-335	เดิม: WP-335
EX-04-07	EX-04	EX	งานถอดแบบพื้นลานด้านหลังอาคาร	WP-336	เดิม: WP-336
EX-04-08	EX-04	EX	งานทำรางวีพื้นลานด้านหลังอาคาร	WP-113	เดิม: WP-113
S-06		S	งานพื้นลานโหลด	WP-280	เดิม: WP-280
S-06-01	S-06	S	งานตัดเสาเข็มลานโหลด	WP-417	เดิม: WP-417 · ใหม่ (Vol.4)
S-06-02	S-06	S	งานปรับระดับทรายพื้นลานโหลด	WP-117	เดิม: WP-117
S-06-03	S-06	S	งานวางไวร์เมชพื้นลานโหลด	WP-118	เดิม: WP-118
S-06-04	S-06	S	งานติดตั้งลูกปูนหนุนเหล็กไวร์เมชพื้นลานโหลด	WP-447	เดิม: WP-447
S-06-05	S-06	S	งานเข้าแบบพื้นลานโหลด	WP-119	เดิม: WP-119
S-06-06	S-06	S	งานเทคอนกรีตพื้นลานโหลดพร้อมขัดมัน	WP-120	เดิม: WP-120
S-06-07	S-06	S	งานถอดแบบพื้นลานโหลด	WP-121	เดิม: WP-121
EX-05		EX	งานห้องถังน้ำดี	WP-281	เดิม: WP-281
EX-05-01	EX-05	EX	งานเข้าแบบฐานห้องถังน้ำดี	WP-147	เดิม: WP-147
EX-05-02	EX-05	EX	งานผูกเหล็กเสริมพื้นคอนกรีตห้องถังน้ำดี	WP-448	เดิม: WP-448
EX-05-03	EX-05	EX	งานวางเหล็กเสริมพื้นคอนกรีตห้องถังน้ำดี	WP-449	เดิม: WP-449
